nimi,lataukset_kk,viimeinen_julkaisu,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
mimic-response,246913746,2021-08-11,530,887171,1,0,61,0,False,7,https://github.com/sindresorhus/mimic-response
object.fromentries,246261545,2024-03-18,808,1845167,1,0,32,1,False,11,https://github.com/es-shims/Object.fromEntries
@types/d3-ease,246010081,2023-11-07,158,21953,1,0,51419,680,False,21,https://github.com/DefinitelyTyped/DefinitelyTyped
redent,244940013,2021-05-03,754,2222532,1,0,55,0,False,4,https://github.com/sindresorhus/redent
ecdsa-sig-formatter,244736778,2019-01-25,96,731001,1,0,19,5,False,10,https://github.com/Brightspace/node-ecdsa-sig-formatter
@types/json5,244535558,2021-02-01,609,1794713,1,0,,,,13,
is-path-inside,243379881,2021-05-03,1018,3491616,1,0,40,0,False,10,https://github.com/sindresorhus/is-path-inside
istanbul-lib-source-maps,241537978,2024-07-02,1011,2609340,4,0,1103,202,False,42,https://github.com/istanbuljs/istanbuljs
jsonc-parser,240956627,2024-06-24,782,356275,7,0,758,28,False,39,https://github.com/microsoft/node-jsonc-parser
neo-async,237556674,2020-07-09,1383,1452098,1,0,654,15,False,77,https://github.com/suguru03/neo-async
utils-merge,237265514,2017-09-20,1591,4948638,1,0,69,8,False,2,https://github.com/jaredhanson/utils-merge
unist-util-stringify-position,236167538,2023-07-07,116,532663,2,0,6,0,False,13,https://github.com/syntax-tree/unist-util-stringify-position
lz-string,235891420,2023-03-04,1151,895003,1,0,4123,53,False,9,https://github.com/pieroxy/lz-string
@types/istanbul-reports,235552749,2023-11-07,69,1972747,1,0,51421,683,False,8,https://github.com/DefinitelyTyped/DefinitelyTyped
methods,234006967,2016-01-18,1452,4125259,6,0,180,3,False,7,https://github.com/jshttp/methods
mz,233791780,2017-09-13,2349,864353,9,0,1369,15,False,22,https://github.com/normalize/mz
abort-controller,231980919,2019-03-30,2366,593406,1,0,309,24,False,11,https://github.com/mysticatea/abort-controller
decimal.js-light,231720033,2020-09-30,4289,26901,1,0,411,6,False,17,https://github.com/MikeMcl/decimal.js-light
