nimi,lataukset_kk,viimeinen_julkaisu_pypi,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
ulid-py,1800786,2020-09-15,33,103,1,0,739,8,False,17,https://github.com/ahawker/ulid
testpath,1795015,2022-02-23,62,46233,1,0,31,5,False,11,https://github.com/jupyter/testpath
asteroid-filterbanks,1781298,2021-04-09,14,58,1,0,87,8,False,13,https://github.com/asteroid-team/asteroid-filterbanks
pyramid-mako,1781291,2019-08-18,17,364,4,0,23,5,False,9,https://github.com/Pylons/pyramid_mako
yacs,1775160,2020-08-10,72,3472,1,0,1338,30,False,9,https://github.com/rbgirshick/yacs
opentelemetry-resourcedetector-kubernetes,1773793,2022-09-18,1,1,1,0,0,1,False,3,https://github.com/chrisguidry/opentelemetry-resourcedetector-kubernetes
dvc-http,1772204,2023-12-13,16,220,2,0,1,9,False,11,https://github.com/iterative/dvc-http
pybase62,1765170,2023-05-29,14,187,1,0,81,3,False,16,https://github.com/suminb/base62
sqlalchemy-json,1762493,2023-08-30,14,561,1,0,195,9,False,8,https://github.com/edelooff/sqlalchemy-json
python-chess,1760833,2020-10-26,10,572,1,0,2870,49,False,100,https://github.com/niklasf/python-chess
colour,1742586,2017-11-19,110,2295,1,0,331,35,False,11,https://github.com/vaab/colour
decopatch,1741095,2022-03-01,5,57,1,0,25,14,False,18,https://github.com/smarie/python-decopatch
azure-ai-formrecognizer,1737194,2024-04-09,32,1182,2,0,5593,1124,False,26,https://github.com/Azure/azure-sdk-for-python
trampoline,1733591,2018-08-18,3,23,1,0,5,0,False,3,https://gitlab.com/ferreum/trampoline
pyramid-debugtoolbar,1726581,2024-02-05,14,669,5,0,94,39,False,66,
verspec,1725837,2020-11-30,3,272,1,0,1,1,False,1,https://github.com/jimporter/verspec
types-click,1707642,2021-11-23,79,331,1,0,5118,372,False,24,https://github.com/python/typeshed
envs,1686663,2021-12-09,5,149,1,0,,,,16,
drf-exceptions-hog,1685408,2023-05-08,0,50,3,0,67,4,False,10,https://github.com/posthog/drf-exceptions-hog
spinners,1680511,2020-02-19,13,1150,1,0,247,7,False,10,https://github.com/manrajgrover/py-spinners
analytics-python,1678980,2023-03-22,26,659,2,0,254,11,False,42,https://github.com/segmentio/analytics-python
aioodbc,1678093,2023-10-28,7,19,3,0,326,39,False,13,https://github.com/aio-libs/aioodbc
docopt-ng,1677491,2023-05-30,35,48,2,0,224,13,False,6,https://github.com/jazzband/docopt-ng
protoc-gen-openapiv2,1670170,2022-12-02,10,1,1,0,0,0,False,1,https://github.com/unionai-oss/protoc-gen-openapiv2
logging-azure-rest,1667877,2021-06-14,0,1,1,0,1,0,False,7,https://github.com/Exelscior/logging-azure-rest
shyaml,1665321,2020-12-15,1,152,1,0,767,19,False,16,https://github.com/0k/shyaml
fpdf,1661117,2015-01-22,128,2104,1,0,911,142,False,2,https://github.com/reingart/pyfpdf
word2number,1657272,2017-06-02,22,623,1,0,179,49,False,4,https://github.com/akshaynagpal/w2n
tonyg-rfc3339,1654001,2015-12-05,1,34,2,0,0,0,True,1,https://github.com/cardforcoin/python-rfc3339
redlock-py,1649846,2016-03-08,0,72,1,0,,,,9,https://github.com/SPSCommerce/identity-service
databricks-pypi2,1649124,2018-11-13,0,1,1,0,,,,2,
flask-sock,1648003,2023-10-02,21,143,1,0,256,13,False,14,https://github.com/miguelgrinberg/flask-sock
ajsonrpc,1645780,2021-07-21,1,66,1,0,20,4,False,9,https://github.com/pavlov99/ajsonrpc
azure-mgmt-machinelearningcompute,1644429,2022-11-02,5,268,3,0,5590,1136,False,7,https://github.com/Azure/azure-sdk-for-python
hypothesis-jsonschema,1636458,2024-02-28,9,298,1,0,268,21,False,61,https://github.com/Zac-HD/hypothesis-jsonschema
opencc-python-reimplemented,1635706,2023-02-11,18,112,1,0,569,9,False,7,https://github.com/yichen0831/opencc-python
